,video_time_stamp,blink_counter,Emotion,list_of_emotions
0,00:00:00,0,angry,"{'emotion': {'angry': 66.25137329101562, 'disgust': 5.9593576937913895, 'fear': 23.756815493106842, 'happy': 0.25024081114679575, 'sad': 1.624731905758381, 'surprise': 1.4021503739058971, 'neutral': 0.7553372532129288}, 'dominant_emotion': 'angry'}"
1,00:00:01,1,sad,"{'emotion': {'angry': 0.0632572470669892, 'disgust': 6.6199921498102885e-09, 'fear': 35.92231403855253, 'happy': 5.262313097538847e-05, 'sad': 64.01411461998399, 'surprise': 6.227577248079946e-11, 'neutral': 0.00026421626865281246}, 'dominant_emotion': 'sad'}"
2,00:00:02,3,angry,"{'emotion': {'angry': 95.52281498908997, 'disgust': 0.09018750861287117, 'fear': 4.137100279331207, 'happy': 0.15587997622787952, 'sad': 0.020024586410727352, 'surprise': 0.07389029487967491, 'neutral': 0.00010083437018693076}, 'dominant_emotion': 'angry'}"
3,00:00:03,3,fear,"{'emotion': {'angry': 32.46093690395355, 'disgust': 0.9467658586800098, 'fear': 35.38808822631836, 'happy': 2.8374629095196724, 'sad': 13.972032070159912, 'surprise': 1.4941428788006306, 'neutral': 12.900575995445251}, 'dominant_emotion': 'fear'}"
4,00:00:04,5,angry,"{'emotion': {'angry': 72.21736311912537, 'disgust': 0.03612376458477229, 'fear': 15.89239239692688, 'happy': 2.154413051903248, 'sad': 2.069874107837677, 'surprise': 4.859901964664459, 'neutral': 2.7699312195181847}, 'dominant_emotion': 'angry'}"
5,00:00:05,6,angry,"{'emotion': {'angry': 74.24403275513845, 'disgust': 4.180816937599974e-05, 'fear': 4.074323420186246, 'happy': 1.2312116835243514, 'sad': 0.025937358532092485, 'surprise': 16.06795883583777, 'neutral': 4.356492942958649}, 'dominant_emotion': 'angry'}"
6,00:00:06,9,sad,"{'emotion': {'angry': 18.35566759109497, 'disgust': 0.0015235114005918149, 'fear': 1.516458485275507, 'happy': 3.5795532166957855, 'sad': 37.622249126434326, 'surprise': 1.7066864296793938, 'neutral': 37.21786439418793}, 'dominant_emotion': 'sad'}"
7,00:00:07,12,sad,"{'emotion': {'angry': 8.84701734094051e-06, 'disgust': 1.845243476064194e-22, 'fear': 0.00015775312931509688, 'happy': 1.6086718762631236e-09, 'sad': 99.99983310699463, 'surprise': 1.0807985100573691e-20, 'neutral': 6.272068420187793e-08}, 'dominant_emotion': 'sad'}"
8,00:00:08,14,surprise,"{'emotion': {'angry': 0.05017553323649964, 'disgust': 1.2851299047269861e-08, 'fear': 0.8747192919588933, 'happy': 0.054993799851083776, 'sad': 0.00026045944729144986, 'surprise': 99.01920568714074, 'neutral': 0.0006431879371085148}, 'dominant_emotion': 'surprise'}"
9,00:00:09,16,sad,"{'emotion': {'angry': 0.9683223441243172, 'disgust': 9.97475014955341e-16, 'fear': 0.00015139734159674845, 'happy': 0.001591309228388127, 'sad': 99.02989864349365, 'surprise': 6.0695026749772035e-12, 'neutral': 3.670765238439344e-05}, 'dominant_emotion': 'sad'}"
10,00:00:10,17,sad,"{'emotion': {'angry': 45.13231784893977, 'disgust': 2.0662550594060788e-10, 'fear': 4.666271338836631, 'happy': 0.0009363477705523906, 'sad': 49.94001090169018, 'surprise': 2.422358680364435e-07, 'neutral': 0.2604671210701538}, 'dominant_emotion': 'sad'}"
11,00:00:11,19,angry,"{'emotion': {'angry': 94.89163160324097, 'disgust': 2.498364547266264e-13, 'fear': 0.00039931169339979533, 'happy': 0.00010441293625262915, 'sad': 5.1077790558338165, 'surprise': 1.150280567953528e-12, 'neutral': 8.894846246221277e-05}, 'dominant_emotion': 'angry'}"
12,00:00:12,21,sad,"{'emotion': {'angry': 9.123262017965317, 'disgust': 2.868682963069857e-20, 'fear': 0.025345233734697104, 'happy': 0.00013811145436193328, 'sad': 90.8512532711029, 'surprise': 3.2823142128479878e-15, 'neutral': 1.5543385245564423e-06}, 'dominant_emotion': 'sad'}"
13,00:00:13,22,angry,"{'emotion': {'angry': 97.20795154571533, 'disgust': 0.00013390306321525713, 'fear': 0.963149219751358, 'happy': 0.0007900097443780396, 'sad': 0.007158666994655505, 'surprise': 0.00011286226708762115, 'neutral': 1.8206998705863953}, 'dominant_emotion': 'angry'}"
14,00:00:14,23,sad,"{'emotion': {'angry': 2.467976324260235, 'disgust': 3.5579618949416886e-16, 'fear': 0.09971439139917493, 'happy': 0.00011617565860433388, 'sad': 97.43207097053528, 'surprise': 1.1934628158243206e-12, 'neutral': 0.00012345070672381553}, 'dominant_emotion': 'sad'}"
15,00:00:15,23,sad,"{'emotion': {'angry': 0.0786268210504204, 'disgust': 1.2940350017660168e-11, 'fear': 0.0073419694672338665, 'happy': 6.021191722993535e-06, 'sad': 99.90575909614563, 'surprise': 1.136567760988015e-13, 'neutral': 0.008271079423138872}, 'dominant_emotion': 'sad'}"
16,00:00:16,24,angry,"{'emotion': {'angry': 99.92960691452026, 'disgust': 2.672489269052008e-14, 'fear': 0.021037881379015744, 'happy': 0.02255068684462458, 'sad': 0.02665333158802241, 'surprise': 7.153361930578583e-09, 'neutral': 0.00015085263385117287}, 'dominant_emotion': 'angry'}"
17,00:00:17,25,angry,"{'emotion': {'angry': 99.3340790271759, 'disgust': 1.2867448602395422e-12, 'fear': 0.0028912218112964183, 'happy': 0.06911770906299353, 'sad': 0.5937451031059027, 'surprise': 1.3477354648960826e-09, 'neutral': 0.0001660210500631365}, 'dominant_emotion': 'angry'}"
